time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,234,0,-180000
11200,47,104,0,-180000
14912,94,-26,0,-180000
18688,117,104,0,-180000
22464,164,0,0,-180000
26112,219,0,0,-180000
29760,266,0,0,-180000
33408,313,0,0,-180000
37056,360,-512,0,-180000
40960,407,26,0,-180000
44672,431,52,0,-180000
48384,478,-156,0,-180000
52288,556,-130,0,-180000
56192,603,0,18,-180000
59904,643,78,54,-180000
63744,690,-26,90,-180000
67584,737,260,144,-179955
71616,784,256,234,-179955
75584,831,338,360,-179955
79552,870,390,504,-179955
83520,917,256,684,-179910
87552,956,494,900,-179910
91520,1027,468,1170,-179865
95680,1066,390,1494,-179820
99776,1105,572,1854,-179730
103936,1168,728,2286,-179685
108224,1207,442,2772,-179640
112448,1247,754,3312,-179550
116672,1286,598,3924,-179460
120960,1341,676,4626,-179415
125184,1372,768,5346,-179325
129472,1427,650,6174,-179190
133696,1458,754,7074,-179010
137920,1513,910,8046,-178920
142208,1545,754,9090,-178875
146432,1576,832,10242,-178650
150784,1615,806,11520,-178515
155072,1647,754,12834,-178335
159424,1686,832,14328,-178110
163776,1709,988,15894,-177975
168064,1749,768,17514,-177705
172416,1772,962,19332,-177525
176768,1803,1014,21168,-177300
181184,1835,1144,23238,-176985
185600,1850,884,25416,-176670
189888,1874,1170,27612,-176490
194368,1898,884,30042,-176085
198656,1913,1170,32562,-175815
203072,1937,832,35226,-175455
207424,1945,1170,37962,-175140
211840,1960,988,40950,-174780
216192,1968,1066,43992,-174420
220608,1984,1456,47232,-174015
225024,1984,1066,50634,-173610
229440,1992,1222,54162,-173205
233856,1992,1170,57870,-172710
238272,1992,1430,61704,-172125
242688,1992,1196,65646,-171765
247104,1992,1024,69768,-171225
251520,1984,1144,74034,-170730
255936,1976,1118,78444,-170235
260352,1968,962,82962,-169605
264704,1960,1024,87570,-169155
269120,1945,1196,92412,-168435
273536,1921,1326,97344,-168030
277952,1905,1092,102474,-167445
282432,1882,1144,107820,-166770
286912,1850,1118,113310,-166140
291456,1835,1144,118944,-165555
295936,1803,1144,124704,-164745
300416,1772,1014,130644,-164070
304960,1733,1066,136674,-163440
309440,1701,1014,142812,-162765
313920,1662,1014,149094,-162090
318464,1631,780,155466,-161505
322880,1584,676,161820,-160695
327296,1545,884,168210,-160155
331712,1513,806,174690,-159390
336128,1443,650,181242,-158760
340544,1396,832,187830,-158040
344960,1341,572,194436,-157500
349376,1301,858,201096,-156825
353792,1247,650,207792,-156105
358208,1184,676,214524,-155475
362624,1129,832,221274,-154710
367040,1066,468,228024,-154215
371456,1027,780,234828,-153495
375872,941,260,241650,-152955
380224,870,572,248328,-152235
384512,831,650,255024,-151785
388864,760,494,261738,-151065
393216,690,468,268434,-150615
397504,619,728,275166,-150075
401856,580,364,281880,-149535
406208,478,676,288594,-148995
410496,407,416,295326,-148455
414848,360,442,302040,-147870
419200,266,624,308754,-147465
423552,188,598,315486,-147015
427840,141,546,322182,-146475
432192,47,78,328860,-146070
436352,-23,364,335268,-145620
440704,-70,208,341910,-145260
444992,-164,286,348534,-144855
449472,-219,546,355248,-144495
453888,-290,234,361908,-144135
458304,-384,260,368550,-143730
462720,-431,286,375120,-143415
467136,-533,-78,381654,-143100
471552,-603,52,388116,-142830
475840,-666,364,394398,-142560
480320,-737,182,400734,-142290
484736,-807,156,406962,-142065
489152,-870,52,413154,-141885
493440,-941,156,419130,-141705
497856,-1027,-156,425124,-141570
502464,-1090,-182,431244,-141435
507072,-1168,-130,437274,-141345
511680,-1207,-104,443178,-141255
516224,-1286,-338,448956,-141165
520832,-1341,-338,454608,-141165
525440,-1411,-182,460080,-141210
529984,-1458,-130,465462,-141255
534592,-1513,-104,470664,-141345
539200,-1560,-182,475740,-141435
543808,-1600,-572,480618,-141615
548352,-1662,-442,485352,-141795
552960,-1709,-156,489888,-142020
557568,-1749,-390,494244,-142290
562112,-1796,-676,498402,-142560
566720,-1811,-702,502362,-142875
571328,-1850,-650,506142,-143235
575936,-1890,-546,509688,-143685
580480,-1913,-546,513054,-144135
585088,-1937,-858,516168,-144630
589696,-1952,-650,519084,-145125
594304,-1968,-806,521766,-145710
598848,-1976,-598,524196,-146295
603456,-1992,-702,526446,-146925
608064,-1992,-494,528426,-147600
612608,-2000,-728,530172,-148320
617216,-1992,-832,531666,-149085
621824,-1992,-988,532908,-149895
626432,-1984,-702,533952,-150750
630976,-1968,-768,534708,-151785
635584,-1952,-832,535248,-152550
640192,-1921,-754,535554,-153540
644736,-1913,-754,535626,-154710
649344,-1882,-624,535536,-155565
653952,-1843,-780,535212,-156825
658560,-1811,-754,534726,-157950
663104,-1772,-832,534096,-158940
667712,-1725,-676,533250,-160065
672320,-1686,-728,532242,-161280
676928,-1631,-676,531072,-162540
681472,-1584,-806,529740,-163935
686080,-1529,-910,528264,-165060
690688,-1474,-832,526590,-166635
695232,-1396,-806,524844,-167670
699840,-1356,-910,522900,-169065
704448,-1286,-520,520830,-170550
709056,-1207,-980,518688,-171810
713600,-1129,-936,516348,-173565
718208,-1066,-988,513954,-174780
722816,-980,-768,511434,-176355
727296,-894,-572,508896,-177660
731840,-831,-768,506214,-179145
736320,-737,-884,503514,-180495
740800,-666,-520,500706,-182295
745344,-580,-546,497826,-183555
749824,-478,-416,494946,-184950
754368,-384,-390,491958,-186525
758848,-313,-442,488970,-188010
763328,-219,-182,485946,-189495
767872,-117,-416,482904,-191025
772352,-23,-468,479844,-192510
776768,47,-234,476874,-193860
781120,141,-312,473958,-195615
785536,219,-52,470988,-197055
789888,290,-104,468144,-198360
794304,407,-208,465282,-199620
798720,478,-78,462438,-201015
803008,603,-364,459702,-202320
807424,666,-156,456984,-203895
811840,737,-52,454338,-205110
816192,831,-26,451818,-206550
820544,917,-338,449352,-207585
824960,1003,26,446922,-208935
829248,1066,104,444654,-210150
833664,1145,156,442440,-211320
838080,1223,52,440298,-212625
842432,1286,156,438318,-213750
846848,1356,208,436428,-214875
851264,1427,156,434664,-216045
855680,1498,416,433026,-217305
860096,1560,390,431532,-218205
864512,1600,208,430200,-219285
868928,1662,494,428994,-220320
873344,1709,260,427986,-221220
877760,1756,702,427122,-222390
882176,1803,572,426456,-223245
886592,1835,256,425952,-223965
891072,1882,598,425628,-225000
895488,1905,676,425448,-225855
899904,1929,512,425412,-226530
904320,1952,494,425556,-227115
908736,1968,858,425826,-227970
913152,1984,754,426240,-228600
917568,1992,768,426816,-229185
921984,1992,988,427482,-229905
926400,1992,806,428310,-230490
930816,1992,988,429300,-231030
935232,1976,1118,430416,-231615
939712,1968,1144,431712,-232155
944256,1945,1014,433206,-232515
948736,1921,780,434808,-232965
953152,1890,962,436518,-233415
957568,1850,1066,438408,-233730
962048,1811,1196,440496,-234000
966592,1780,806,442710,-234405
971008,1725,1222,444978,-234675
975488,1670,1066,447498,-234810
980032,1615,1248,450162,-235080
984512,1560,1066,452934,-235260
988992,1498,1222,455850,-235395
993536,1427,1066,458874,-235485
998016,1341,806,462078,-235665
1002432,1262,884,465318,-235665
1006976,1184,988,468720,-235710
1011456,1129,768,472248,-235665
1016000,1027,598,475920,-235620
1020480,941,1014,479646,-235575
1025024,831,624,483462,-235485
1029440,760,728,487296,-235350
1033856,666,468,491220,-235215
1038272,580,364,495198,-235080
1042688,454,598,499230,-234900
1047168,360,702,503334,-234585
1051584,266,546,507474,-234405
1056000,164,416,511650,-234225
1060416,70,234,515862,-233865
1064768,-23,182,520020,-233550
1069184,-141,338,524250,-233235
1073728,-243,416,528588,-232875
1078208,-337,104,532944,-232470
1082752,-431,286,537264,-232020
1087232,-556,234,541584,-231660
1091776,-643,104,545850,-231210
1096256,-737,52,550098,-230760
1100672,-831,-26,554238,-230310
1105216,-941,-256,558414,-229770
1109824,-1027,0,562608,-229275
1114240,-1129,26,566568,-228780
1118784,-1207,-26,570546,-228195
1123392,-1286,-598,574506,-227655
1128064,-1372,-442,578448,-227025
1132736,-1458,-208,582282,-226530
1137408,-1529,-364,585990,-225810
1142080,-1600,-442,589572,-225315
1146816,-1662,-520,593028,-224550
1151488,-1709,-572,596322,-224055
1156160,-1780,-572,599454,-223335
1160832,-1827,-754,602424,-222795
1165504,-1874,-546,605196,-222030
1170240,-1905,-1014,607824,-221535
