time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007808,0.8,0.021,0.0,-3.14159265
0.011456,0.8,0.866,9e-05,-3.14159265
0.015296,0.8,0.866,0.00027,-3.13923645551
0.019328,0.8,0.887,0.000486,-3.14002185367
0.023296,0.8,0.887,0.000846,-3.14002185367
0.027264,0.8,0.887,0.001332,-3.13766565919
0.03136,0.8,0.908,0.001908,-3.13609486286
0.035392,0.8,0.845,0.002574,-3.13609486286
0.039488,0.8,0.887,0.003348,-3.13373866837
0.04352,0.8,0.845,0.004194,-3.13138247389
0.047616,0.8,0.866,0.005148,-3.12981167756
0.051712,0.8,0.824,0.006156,-3.12745548308
0.055744,0.8,0.866,0.007272,-3.12352849226
0.05984,0.8,0.908,0.008496,-3.12117229778
0.063872,0.8,0.866,0.009756,-3.11960150145
0.067968,0.8,0.887,0.011124,-3.11567451064
0.072128,0.8,0.929,0.012618,-3.11174751983
0.076288,0.8,0.866,0.014148,-3.10939132534
0.080384,0.8,0.887,0.015786,-3.10467893636
0.084544,0.8,0.908,0.01755,-3.10075194555
0.088704,0.8,0.887,0.019332,-3.0976103529
0.092864,0.8,0.866,0.021204,-3.09289796393
0.097024,0.8,0.887,0.023202,-3.08818557495
0.101184,0.8,0.908,0.025254,-3.08347318597
0.105408,0.8,0.908,0.027378,-3.07954619516
0.109696,0.8,0.908,0.029646,-3.07326300986
0.11392,0.8,0.866,0.032022,-3.06776522273
0.118208,0.8,0.95,0.034434,-3.06383823191
0.122432,0.8,0.908,0.036918,-3.05834044478
0.126656,0.8,0.993,0.039546,-3.05284265764
0.130944,0.8,0.887,0.042228,-3.0473448705
0.135168,0.8,0.929,0.045,-3.0410616852
0.139456,0.8,0.908,0.047898,-3.0347784999
0.14368,0.8,0.929,0.050832,-3.0284953146
0.147904,0.8,0.908,0.053856,-3.02299752746
0.152192,0.8,0.845,0.057024,-3.01514354584
0.156416,0.8,0.929,0.06021,-3.00886036054
0.160704,0.8,0.908,0.063486,-3.0033625734
0.164928,0.8,0.908,0.066888,-2.99472319361
0.169152,0.8,0.908,0.070362,-2.98686921199
0.17344,0.8,0.95,0.073908,-2.98137142485
0.177664,0.8,0.972,0.077526,-2.97351744323
0.181888,0.8,0.95,0.081252,-2.9656634616
0.186176,0.8,0.845,0.085032,-2.95859487814
0.1904,0.8,0.972,0.08892,-2.95074089651
0.194688,0.8,0.993,0.092862,-2.94210151673
0.198912,0.8,0.887,0.096894,-2.93346213694
0.203136,0.8,0.887,0.100998,-2.92560815531
0.207488,0.8,0.993,0.105264,-2.91853957185
0.21184,0.8,0.929,0.109638,-2.90990019206
0.216192,0.8,0.908,0.114048,-2.90204621044
0.22048,0.8,0.929,0.11853,-2.89183603433
0.224832,0.8,0.908,0.12312,-2.88476745086
0.229184,0.8,0.929,0.127746,-2.87612807108
0.233472,0.8,0.95,0.132462,-2.86591789496
0.237824,0.8,1.014,0.137268,-2.85806391334
0.24224,0.8,0.929,0.142236,-2.84863913539
0.246592,0.8,0.95,0.14715,-2.84157055193
0.250944,0.8,0.993,0.15219,-2.83214577398
0.255232,0.8,0.929,0.157266,-2.82272099603
0.259584,-0.8,0.929,0.162414,-2.8148670144
0.264,-0.8,-1.035,0.167526,-2.80701303278
0.268608,-0.8,-0.992,0.172584,-2.79915905115
0.273088,-0.8,-1.056,0.177534,-2.7897342732
0.277696,-0.8,-0.908,0.18225,-2.78266568974
0.28224,-0.8,-0.908,0.186516,-2.7771679026
0.28672,-0.8,-0.887,0.190638,-2.77167011546
0.291264,-0.8,-0.844,0.194526,-2.76617232833
0.295744,-0.8,-0.844,0.198144,-2.76303073568
0.300288,-0.8,-0.887,0.201528,-2.75910374486
0.304768,-0.8,-0.908,0.204696,-2.75517675405
0.309312,-0.8,-0.823,0.20763,-2.75360595773
0.313792,-0.8,-0.844,0.21033,-2.75282055956
0.318336,-0.8,-0.802,0.212778,-2.75124976324
0.322816,-0.8,-0.844,0.215028,-2.75124976324
0.327296,-0.8,-0.823,0.217026,-2.7520351614
0.33184,-0.8,-0.76,0.218808,-2.75282055956
0.33632,-0.8,-0.844,0.220392,-2.75360595773
0.340864,-0.8,-0.823,0.221688,-2.75753294854
0.345344,-0.8,-0.823,0.222768,-2.76067454119
0.349888,-0.8,-0.823,0.223686,-2.76303073568
0.354368,-0.8,-0.802,0.224334,-2.76852852281
0.358912,-0.8,-0.823,0.224712,-2.77402630995
0.363392,-0.8,-0.802,0.224964,-2.77795330076
0.367936,-0.8,-0.739,0.225,-2.78423648606
0.372416,-0.8,-0.823,0.224766,-2.79287586585
0.37696,-0.8,-0.823,0.224406,-2.79837365299
0.38144,-0.8,-0.823,0.223884,-2.80622763461
0.385984,-0.8,-0.781,0.223218,-2.8148670144
0.390464,-0.8,-0.844,0.22239,-2.82350639419
0.395008,-0.8,-0.781,0.221454,-2.83293117214
0.399488,-0.8,-0.739,0.220374,-2.84314134825
0.404032,-0.8,-0.802,0.21915,-2.8525661262
0.408512,-0.8,-0.781,0.217818,-2.86434709864
0.413056,-0.8,-0.781,0.216324,-2.87455727475
0.417536,-0.8,-0.823,0.214722,-2.88555284903
0.42208,-0.8,-0.76,0.21303,-2.8965484233
0.42656,-0.8,-0.802,0.21114,-2.90990019206
0.431104,-0.8,-0.844,0.20916,-2.9216811645
0.435584,-0.8,-0.718,0.207126,-2.93346213694
0.440128,-0.8,-0.739,0.204876,-2.94759930386
0.444608,-0.8,-0.654,0.202536,-2.96173647079
0.449088,-0.8,-0.781,0.200106,-2.97430284139
0.453632,-0.8,-0.612,0.197568,-2.99236699913
0.458112,-0.8,-0.844,0.194868,-3.00728956421
0.462656,-0.8,-0.718,0.192096,-3.01828513849
0.467136,-0.8,-0.739,0.189198,-3.0347784999
0.47168,-0.8,-0.781,0.186174,-3.05205725948
0.47616,-0.8,-0.76,0.183096,-3.06697982456
0.480704,-0.8,-0.675,0.179856,-3.08111699149
0.485184,-0.8,-0.781,0.17649,-3.10075194555
0.489728,-0.8,-0.612,0.173106,-3.11331831615
0.494208,-0.8,-0.591,0.16956,-3.13059707572
0.498752,-0.8,-0.844,0.16587,-3.15101742795
0.503232,-0.8,-0.718,0.162144,-3.16593999304
0.507776,0.8,-0.675,0.158292,-3.18243335445
0.512192,0.8,0.739,0.154656,-3.1981413177
0.516544,0.8,0.76,0.151218,-3.21227848463
0.520832,0.8,0.718,0.147852,-3.23426963318
0.525184,0.8,0.781,0.1449,-3.24605060561
0.529536,0.8,0.803,0.14211,-3.25704617989
0.533888,0.8,0.845,0.139482,-3.27511033763
0.538176,0.8,0.781,0.137106,-3.29160369904
0.542528,0.8,0.781,0.134946,-3.30102847699
0.54688,0.8,0.803,0.133002,-3.31280944942
0.551168,0.8,0.824,0.131238,-3.32773201451
0.55552,0.8,0.845,0.129726,-3.33558599614
0.559872,0.8,0.845,0.12843,-3.34658157041
0.564224,0.8,0.845,0.127296,-3.36071873734
0.568512,0.8,0.845,0.126414,-3.3677873208
0.572864,0.8,0.845,0.125748,-3.37485590426
0.577216,0.8,0.908,0.125244,-3.38585147854
0.581504,0.8,0.908,0.124992,-3.392920062
0.585856,0.8,0.929,0.124974,-3.40077404363
